State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Assam,GOLAGHAT,Turmeric,2002-03,Whole Year,300,Hectare,91,Tonnes,0.3033333333
Assam,GOLAGHAT,Turmeric,2003-04,Whole Year,311,Hectare,94,Tonnes,0.3022508039
Assam,HAILAKANDI,Turmeric,2001-02,Whole Year,170,Hectare,86,Tonnes,0.5058823529
Assam,HAILAKANDI,Turmeric,2002-03,Whole Year,200,Hectare,101,Tonnes,0.505
Assam,HAILAKANDI,Turmeric,2003-04,Whole Year,210,Hectare,106,Tonnes,0.5047619048
Assam,JORHAT,Turmeric,2001-02,Whole Year,261,Hectare,164,Tonnes,0.6283524904
Assam,JORHAT,Turmeric,2002-03,Whole Year,163,Hectare,102,Tonnes,0.6257668712
Assam,JORHAT,Turmeric,2003-04,Whole Year,165,Hectare,104,Tonnes,0.6303030303
Assam,KAMRUP,Turmeric,2001-02,Whole Year,944,Hectare,818,Tonnes,0.8665254237
Assam,KAMRUP,Turmeric,2002-03,Whole Year,939,Hectare,811,Tonnes,0.863684771
Assam,KAMRUP,Turmeric,2003-04,Whole Year,937,Hectare,811,Tonnes,0.8655282818
Assam,KARBI ANGLONG,Turmeric,2001-02,Whole Year,408,Hectare,308,Tonnes,0.7549019608
Assam,KARBI ANGLONG,Turmeric,2002-03,Whole Year,434,Hectare,333,Tonnes,0.767281106
Assam,KARBI ANGLONG,Turmeric,2003-04,Whole Year,453,Hectare,347,Tonnes,0.766004415
Assam,KARIMGANJ,Turmeric,2001-02,Whole Year,285,Hectare,131,Tonnes,0.4596491228
Assam,KARIMGANJ,Turmeric,2002-03,Whole Year,325,Hectare,150,Tonnes,0.4615384615
Assam,KARIMGANJ,Turmeric,2003-04,Whole Year,355,Hectare,164,Tonnes,0.461971831
Assam,KOKRAJHAR,Turmeric,2001-02,Whole Year,398,Hectare,311,Tonnes,0.7814070352
Assam,KOKRAJHAR,Turmeric,2002-03,Whole Year,390,Hectare,305,Tonnes,0.7820512821
Assam,KOKRAJHAR,Turmeric,2003-04,Whole Year,391,Hectare,306,Tonnes,0.7826086957
Assam,LAKHIMPUR,Turmeric,2001-02,Whole Year,505,Hectare,328,Tonnes,0.6495049505
Assam,LAKHIMPUR,Turmeric,2002-03,Whole Year,514,Hectare,334,Tonnes,0.6498054475
Assam,LAKHIMPUR,Turmeric,2003-04,Whole Year,546,Hectare,355,Tonnes,0.6501831502
Assam,MARIGAON,Turmeric,2001-02,Whole Year,215,Hectare,172,Tonnes,0.8
Assam,MARIGAON,Turmeric,2002-03,Whole Year,220,Hectare,176,Tonnes,0.8
Assam,MARIGAON,Turmeric,2003-04,Whole Year,260,Hectare,208,Tonnes,0.8
Assam,NAGAON,Turmeric,2001-02,Whole Year,1367,Hectare,879,Tonnes,0.643013899
Assam,NAGAON,Turmeric,2002-03,Whole Year,1381,Hectare,887,Tonnes,0.642288197
Assam,NAGAON,Turmeric,2003-04,Whole Year,1377,Hectare,884,Tonnes,0.6419753086
Assam,NALBARI,Turmeric,2001-02,Whole Year,680,Hectare,629,Tonnes,0.925
Assam,NALBARI,Turmeric,2002-03,Whole Year,730,Hectare,675,Tonnes,0.9246575342
Assam,NALBARI,Turmeric,2003-04,Whole Year,640,Hectare,593,Tonnes,0.9265625
Assam,SIVASAGAR,Turmeric,2001-02,Whole Year,260,Hectare,225,Tonnes,0.8653846154
Assam,SIVASAGAR,Turmeric,2002-03,Whole Year,281,Hectare,240,Tonnes,0.8540925267
Assam,SIVASAGAR,Turmeric,2003-04,Whole Year,282,Hectare,233,Tonnes,0.8262411348
Assam,SONITPUR,Turmeric,2001-02,Whole Year,1055,Hectare,770,Tonnes,0.7298578199
Assam,SONITPUR,Turmeric,2002-03,Whole Year,915,Hectare,668,Tonnes,0.7300546448
Assam,SONITPUR,Turmeric,2003-04,Whole Year,935,Hectare,683,Tonnes,0.7304812834
Assam,TINSUKIA,Turmeric,2001-02,Whole Year,453,Hectare,246,Tonnes,0.5430463576
Assam,TINSUKIA,Turmeric,2002-03,Whole Year,435,Hectare,236,Tonnes,0.5425287356
Assam,TINSUKIA,Turmeric,2003-04,Whole Year,437,Hectare,242,Tonnes,0.5537757437
Assam,BARPETA,Urad,2001-02,Rabi,4355,Hectare,2200,Tonnes,0.5051664753
Assam,BARPETA,Urad,2002-03,Rabi,4225,Hectare,2161,Tonnes,0.5114792899
Assam,BARPETA,Urad,2003-04,Rabi,4380,Hectare,2321,Tonnes,0.5299086758
Assam,BONGAIGAON,Urad,2001-02,Rabi,2680,Hectare,1323,Tonnes,0.4936567164
Assam,BONGAIGAON,Urad,2002-03,Rabi,2810,Hectare,1477,Tonnes,0.5256227758
Assam,BONGAIGAON,Urad,2003-04,Rabi,2795,Hectare,1258,Tonnes,0.4500894454
Assam,CACHAR,Urad,2001-02,Rabi,700,Hectare,389,Tonnes,0.5557142857
Assam,CACHAR,Urad,2002-03,Rabi,710,Hectare,354,Tonnes,0.4985915493
Assam,CACHAR,Urad,2003-04,Rabi,780,Hectare,408,Tonnes,0.5230769231
Assam,DARRANG,Urad,2001-02,Rabi,4555,Hectare,2584,Tonnes,0.5672886937
Assam,DARRANG,Urad,2002-03,Rabi,4400,Hectare,2190,Tonnes,0.4977272727
Assam,DARRANG,Urad,2003-04,Rabi,4400,Hectare,2465,Tonnes,0.5602272727
Assam,DHEMAJI,Urad,2001-02,Rabi,570,Hectare,305,Tonnes,0.5350877193
Assam,DHEMAJI,Urad,2002-03,Rabi,830,Hectare,380,Tonnes,0.4578313253
Assam,DHEMAJI,Urad,2003-04,Rabi,853,Hectare,364,Tonnes,0.4267291911
Assam,DHUBRI,Urad,2001-02,Rabi,6048,Hectare,3675,Tonnes,0.6076388889
Assam,DHUBRI,Urad,2002-03,Rabi,6024,Hectare,2776,Tonnes,0.4608233732
Assam,DHUBRI,Urad,2003-04,Rabi,6180,Hectare,3192,Tonnes,0.5165048544
Assam,DIBRUGARH,Urad,2001-02,Rabi,985,Hectare,434,Tonnes,0.4406091371
Assam,DIBRUGARH,Urad,2002-03,Rabi,998,Hectare,448,Tonnes,0.4488977956
Assam,DIBRUGARH,Urad,2003-04,Rabi,1227,Hectare,1294,Tonnes,1.054604727
Assam,DIMA HASAO,Urad,2001-02,Rabi,229,Hectare,127,Tonnes,0.5545851528
Assam,DIMA HASAO,Urad,2002-03,Rabi,237,Hectare,118,Tonnes,0.4978902954
Assam,DIMA HASAO,Urad,2003-04,Rabi,239,Hectare,125,Tonnes,0.5230125523
Assam,GOALPARA,Urad,2001-02,Rabi,2853,Hectare,1504,Tonnes,0.5271643884
Assam,GOALPARA,Urad,2002-03,Rabi,2369,Hectare,1106,Tonnes,0.4668636556
Assam,GOALPARA,Urad,2003-04,Rabi,2350,Hectare,1394,Tonnes,0.5931914894
Assam,GOLAGHAT,Urad,2001-02,Rabi,1345,Hectare,792,Tonnes,0.5888475836
Assam,GOLAGHAT,Urad,2002-03,Rabi,1369,Hectare,645,Tonnes,0.4711468225
Assam,GOLAGHAT,Urad,2003-04,Rabi,1209,Hectare,631,Tonnes,0.5219189413
Assam,HAILAKANDI,Urad,2001-02,Rabi,350,Hectare,195,Tonnes,0.5571428571
Assam,HAILAKANDI,Urad,2002-03,Rabi,360,Hectare,179,Tonnes,0.4972222222
Assam,HAILAKANDI,Urad,2003-04,Rabi,355,Hectare,186,Tonnes,0.523943662
Assam,JORHAT,Urad,2001-02,Rabi,3989,Hectare,1584,Tonnes,0.397092003
Assam,JORHAT,Urad,2002-03,Rabi,3440,Hectare,1389,Tonnes,0.4037790698
Assam,JORHAT,Urad,2003-04,Rabi,2260,Hectare,609,Tonnes,0.2694690265
Assam,KAMRUP,Urad,2001-02,Rabi,3248,Hectare,2163,Tonnes,0.6659482759
Assam,KAMRUP,Urad,2002-03,Rabi,3005,Hectare,1748,Tonnes,0.5816971714
Assam,KAMRUP,Urad,2003-04,Rabi,2986,Hectare,1720,Tonnes,0.5760214334
Assam,KARBI ANGLONG,Urad,2001-02,Rabi,649,Hectare,360,Tonnes,0.5546995378
Assam,KARBI ANGLONG,Urad,2002-03,Rabi,658,Hectare,328,Tonnes,0.4984802432
Assam,KARBI ANGLONG,Urad,2003-04,Rabi,633,Hectare,331,Tonnes,0.522906793
Assam,KARIMGANJ,Urad,2001-02,Rabi,40,Hectare,22,Tonnes,0.55
Assam,KARIMGANJ,Urad,2002-03,Rabi,42,Hectare,21,Tonnes,0.5
Assam,KARIMGANJ,Urad,2003-04,Rabi,45,Hectare,24,Tonnes,0.5333333333
Assam,KOKRAJHAR,Urad,2001-02,Rabi,847,Hectare,471,Tonnes,0.5560802834
Assam,KOKRAJHAR,Urad,2002-03,Rabi,890,Hectare,443,Tonnes,0.497752809
Assam,KOKRAJHAR,Urad,2003-04,Rabi,960,Hectare,502,Tonnes,0.5229166667
Assam,LAKHIMPUR,Urad,2001-02,Rabi,1345,Hectare,568,Tonnes,0.4223048327
Assam,LAKHIMPUR,Urad,2002-03,Rabi,1274,Hectare,628,Tonnes,0.4929356358
Assam,LAKHIMPUR,Urad,2003-04,Rabi,1315,Hectare,581,Tonnes,0.4418250951
Assam,MARIGAON,Urad,2001-02,Rabi,310,Hectare,166,Tonnes,0.535483871
Assam,MARIGAON,Urad,2002-03,Rabi,700,Hectare,277,Tonnes,0.3957142857
Assam,MARIGAON,Urad,2003-04,Rabi,600,Hectare,236,Tonnes,0.3933333333
Assam,NAGAON,Urad,2001-02,Rabi,2828,Hectare,2070,Tonnes,0.7319660537
Assam,NAGAON,Urad,2002-03,Rabi,2269,Hectare,1217,Tonnes,0.5363596298
Assam,NAGAON,Urad,2003-04,Rabi,1890,Hectare,902,Tonnes,0.4772486772
Assam,NALBARI,Urad,2001-02,Rabi,805,Hectare,423,Tonnes,0.5254658385
Assam,NALBARI,Urad,2002-03,Rabi,810,Hectare,422,Tonnes,0.5209876543
Assam,NALBARI,Urad,2003-04,Rabi,810,Hectare,363,Tonnes,0.4481481481
Assam,SIVASAGAR,Urad,2001-02,Rabi,399,Hectare,222,Tonnes,0.5563909774
Assam,SIVASAGAR,Urad,2002-03,Rabi,400,Hectare,199,Tonnes,0.4975
Assam,SIVASAGAR,Urad,2003-04,Rabi,358,Hectare,187,Tonnes,0.5223463687
Assam,SONITPUR,Urad,2001-02,Rabi,1716,Hectare,1144,Tonnes,0.6666666667
Assam,SONITPUR,Urad,2002-03,Rabi,1779,Hectare,1189,Tonnes,0.6683530073
Assam,SONITPUR,Urad,2003-04,Rabi,2158,Hectare,1242,Tonnes,0.5755329008
Assam,TINSUKIA,Urad,2001-02,Rabi,939,Hectare,522,Tonnes,0.5559105431
Assam,TINSUKIA,Urad,2002-03,Rabi,782,Hectare,405,Tonnes,0.5179028133
Assam,TINSUKIA,Urad,2003-04,Rabi,805,Hectare,361,Tonnes,0.448447205
Assam,BARPETA,Wheat,2001-02,Rabi,10169,Hectare,10477,Tonnes,1.030288131
Assam,BARPETA,Wheat,2002-03,Rabi,9520,Hectare,8825,Tonnes,0.9269957983
Assam,BARPETA,Wheat,2003-04,Rabi,10125,Hectare,9267,Tonnes,0.9152592593
Assam,BONGAIGAON,Wheat,2001-02,Rabi,5844,Hectare,6875,Tonnes,1.17642026
Assam,BONGAIGAON,Wheat,2002-03,Rabi,5830,Hectare,7419,Tonnes,1.272555746
Assam,BONGAIGAON,Wheat,2003-04,Rabi,5770,Hectare,5764,Tonnes,0.9989601386
Assam,CACHAR,Wheat,2001-02,Rabi,55,Hectare,65,Tonnes,1.181818182
Assam,CACHAR,Wheat,2002-03,Rabi,59,Hectare,67,Tonnes,1.13559322
Assam,CACHAR,Wheat,2003-04,Rabi,60,Hectare,63,Tonnes,1.05
Assam,DARRANG,Wheat,2001-02,Rabi,4483,Hectare,5581,Tonnes,1.244925273
Assam,DARRANG,Wheat,2002-03,Rabi,5607,Hectare,6681,Tonnes,1.191546281
Assam,DARRANG,Wheat,2003-04,Rabi,6039,Hectare,5490,Tonnes,0.9090909091
Assam,DHEMAJI,Wheat,2001-02,Rabi,1140,Hectare,1559,Tonnes,1.36754386
Assam,DHEMAJI,Wheat,2002-03,Rabi,1405,Hectare,1728,Tonnes,1.229893238
Assam,DHEMAJI,Wheat,2003-04,Rabi,2210,Hectare,1043,Tonnes,0.4719457014
Assam,DHUBRI,Wheat,2001-02,Rabi,13455,Hectare,15656,Tonnes,1.163582311
Assam,DHUBRI,Wheat,2002-03,Rabi,11695,Hectare,13775,Tonnes,1.177853784
Assam,DHUBRI,Wheat,2003-04,Rabi,10700,Hectare,14468,Tonnes,1.352149533
Assam,DIBRUGARH,Wheat,2001-02,Rabi,1334,Hectare,2002,Tonnes,1.500749625
Assam,DIBRUGARH,Wheat,2002-03,Rabi,946,Hectare,1195,Tonnes,1.263213531
Assam,DIBRUGARH,Wheat,2003-04,Rabi,415,Hectare,410,Tonnes,0.9879518072
Assam,DIMA HASAO,Wheat,2001-02,Rabi,59,Hectare,70,Tonnes,1.186440678
Assam,DIMA HASAO,Wheat,2002-03,Rabi,56,Hectare,63,Tonnes,1.125
Assam,DIMA HASAO,Wheat,2003-04,Rabi,56,Hectare,59,Tonnes,1.053571429
Assam,GOALPARA,Wheat,2001-02,Rabi,4000,Hectare,6072,Tonnes,1.518
Assam,GOALPARA,Wheat,2002-03,Rabi,3856,Hectare,5622,Tonnes,1.457987552
Assam,GOALPARA,Wheat,2003-04,Rabi,3639,Hectare,5269,Tonnes,1.447925254
Assam,GOLAGHAT,Wheat,2001-02,Rabi,1392,Hectare,1049,Tonnes,0.753591954
Assam,GOLAGHAT,Wheat,2002-03,Rabi,1398,Hectare,1274,Tonnes,0.9113018598
Assam,GOLAGHAT,Wheat,2003-04,Rabi,1418,Hectare,1904,Tonnes,1.342736248
Assam,HAILAKANDI,Wheat,2001-02,Rabi,25,Hectare,30,Tonnes,1.2
Assam,HAILAKANDI,Wheat,2002-03,Rabi,5,Hectare,6,Tonnes,1.2
Assam,HAILAKANDI,Wheat,2003-04,Rabi,4,Hectare,4,Tonnes,1
Assam,JORHAT,Wheat,2001-02,Rabi,1690,Hectare,2176,Tonnes,1.287573964
Assam,JORHAT,Wheat,2002-03,Rabi,760,Hectare,1003,Tonnes,1.319736842
Assam,JORHAT,Wheat,2003-04,Rabi,1090,Hectare,1378,Tonnes,1.264220183
Assam,KAMRUP,Wheat,2001-02,Rabi,6282,Hectare,8253,Tonnes,1.313753582
Assam,KAMRUP,Wheat,2002-03,Rabi,5983,Hectare,5452,Tonnes,0.9112485375
Assam,KAMRUP,Wheat,2003-04,Rabi,5775,Hectare,4773,Tonnes,0.8264935065
Assam,KARBI ANGLONG,Wheat,2001-02,Rabi,1352,Hectare,2077,Tonnes,1.536242604
Assam,KARBI ANGLONG,Wheat,2002-03,Rabi,1358,Hectare,1890,Tonnes,1.391752577
Assam,KARBI ANGLONG,Wheat,2003-04,Rabi,1276,Hectare,1712,Tonnes,1.34169279
Assam,KARIMGANJ,Wheat,2001-02,Rabi,44,Hectare,52,Tonnes,1.181818182
Assam,KOKRAJHAR,Wheat,2001-02,Rabi,1855,Hectare,2132,Tonnes,1.149326146
Assam,KOKRAJHAR,Wheat,2002-03,Rabi,1998,Hectare,2563,Tonnes,1.282782783
Assam,KOKRAJHAR,Wheat,2003-04,Rabi,2120,Hectare,2727,Tonnes,1.286320755
Assam,LAKHIMPUR,Wheat,2001-02,Rabi,844,Hectare,439,Tonnes,0.5201421801
Assam,LAKHIMPUR,Wheat,2002-03,Rabi,743,Hectare,559,Tonnes,0.7523553163
Assam,LAKHIMPUR,Wheat,2003-04,Rabi,1040,Hectare,748,Tonnes,0.7192307692
Assam,MARIGAON,Wheat,2001-02,Rabi,4000,Hectare,4200,Tonnes,1.05
Assam,MARIGAON,Wheat,2002-03,Rabi,4250,Hectare,4229,Tonnes,0.9950588235
Assam,MARIGAON,Wheat,2003-04,Rabi,4000,Hectare,3472,Tonnes,0.868
Assam,NAGAON,Wheat,2001-02,Rabi,5699,Hectare,5955,Tonnes,1.044920161
Assam,NAGAON,Wheat,2002-03,Rabi,5536,Hectare,5120,Tonnes,0.9248554913
Assam,NAGAON,Wheat,2003-04,Rabi,5732,Hectare,4582,Tonnes,0.799371947
Assam,NALBARI,Wheat,2001-02,Rabi,3975,Hectare,4571,Tonnes,1.149937107
Assam,NALBARI,Wheat,2002-03,Rabi,3940,Hectare,5146,Tonnes,1.306091371
Assam,NALBARI,Wheat,2003-04,Rabi,4100,Hectare,5490,Tonnes,1.33902439
Assam,SIVASAGAR,Wheat,2001-02,Rabi,373,Hectare,441,Tonnes,1.18230563
Assam,SIVASAGAR,Wheat,2002-03,Rabi,246,Hectare,278,Tonnes,1.130081301
Assam,SIVASAGAR,Wheat,2003-04,Rabi,333,Hectare,272,Tonnes,0.8168168168
Assam,SONITPUR,Wheat,2001-02,Rabi,3670,Hectare,4972,Tonnes,1.354768392
Assam,SONITPUR,Wheat,2002-03,Rabi,3758,Hectare,4931,Tonnes,1.312134114
Assam,SONITPUR,Wheat,2003-04,Rabi,3915,Hectare,4148,Tonnes,1.059514687
Assam,TINSUKIA,Wheat,2001-02,Rabi,505,Hectare,596,Tonnes,1.18019802
Assam,TINSUKIA,Wheat,2002-03,Rabi,112,Hectare,126,Tonnes,1.125
Assam,TINSUKIA,Wheat,2003-04,Rabi,137,Hectare,143,Tonnes,1.04379562
Bihar,ARARIA,Arhar/Tur,2001-02,Kharif,483,Hectare,677,Tonnes,1.401656315
Bihar,ARARIA,Arhar/Tur,2002-03,Kharif,302,Hectare,369,Tonnes,1.221854305
Bihar,ARARIA,Arhar/Tur,2003-04,Kharif,2901,Hectare,3522,Tonnes,1.214064116
Bihar,ARWAL,Arhar/Tur,2003-04,Kharif,76,Hectare,96,Tonnes,1.263157895
Bihar,AURANGABAD,Arhar/Tur,2001-02,Kharif,562,Hectare,724,Tonnes,1.288256228
Bihar,AURANGABAD,Arhar/Tur,2002-03,Kharif,837,Hectare,1154,Tonnes,1.378733572
Bihar,AURANGABAD,Arhar/Tur,2003-04,Kharif,436,Hectare,579,Tonnes,1.327981651
Bihar,BANKA,Arhar/Tur,2001-02,Kharif,1073,Hectare,1556,Tonnes,1.450139795
Bihar,BANKA,Arhar/Tur,2002-03,Kharif,474,Hectare,760,Tonnes,1.603375527
Bihar,BANKA,Arhar/Tur,2003-04,Kharif,552,Hectare,829,Tonnes,1.501811594
Bihar,BEGUSARAI,Arhar/Tur,2001-02,Kharif,1288,Hectare,1826,Tonnes,1.417701863
Bihar,BEGUSARAI,Arhar/Tur,2002-03,Kharif,1327,Hectare,1839,Tonnes,1.385832705
Bihar,BEGUSARAI,Arhar/Tur,2003-04,Kharif,1228,Hectare,1006,Tonnes,0.819218241
Bihar,BHAGALPUR,Arhar/Tur,2001-02,Kharif,645,Hectare,935,Tonnes,1.449612403
Bihar,BHAGALPUR,Arhar/Tur,2002-03,Kharif,775,Hectare,803,Tonnes,1.036129032
Bihar,BHAGALPUR,Arhar/Tur,2003-04,Kharif,795,Hectare,1076,Tonnes,1.353459119
Bihar,BHOJPUR,Arhar/Tur,2001-02,Kharif,1060,Hectare,1290,Tonnes,1.216981132
Bihar,BHOJPUR,Arhar/Tur,2002-03,Kharif,1060,Hectare,1375,Tonnes,1.297169811
Bihar,BHOJPUR,Arhar/Tur,2003-04,Kharif,924,Hectare,802,Tonnes,0.867965368
Bihar,BUXAR,Arhar/Tur,2001-02,Kharif,594,Hectare,557,Tonnes,0.9377104377
Bihar,BUXAR,Arhar/Tur,2002-03,Kharif,544,Hectare,1023,Tonnes,1.880514706
Bihar,BUXAR,Arhar/Tur,2003-04,Kharif,537,Hectare,1254,Tonnes,2.335195531
Bihar,DARBHANGA,Arhar/Tur,2001-02,Kharif,881,Hectare,537,Tonnes,0.6095346198
Bihar,DARBHANGA,Arhar/Tur,2002-03,Kharif,371,Hectare,467,Tonnes,1.258760108
Bihar,DARBHANGA,Arhar/Tur,2003-04,Kharif,419,Hectare,194,Tonnes,0.4630071599
Bihar,GAYA,Arhar/Tur,2001-02,Kharif,2786,Hectare,4552,Tonnes,1.633883704
Bihar,GAYA,Arhar/Tur,2002-03,Kharif,2001,Hectare,2371,Tonnes,1.184907546
Bihar,GAYA,Arhar/Tur,2003-04,Kharif,2187,Hectare,2272,Tonnes,1.038866027
Bihar,GOPALGANJ,Arhar/Tur,2001-02,Kharif,2370,Hectare,3031,Tonnes,1.278902954
Bihar,GOPALGANJ,Arhar/Tur,2002-03,Kharif,2079,Hectare,1100,Tonnes,0.5291005291
Bihar,GOPALGANJ,Arhar/Tur,2003-04,Kharif,2031,Hectare,1302,Tonnes,0.6410635155
Bihar,JAMUI,Arhar/Tur,2001-02,Kharif,235,Hectare,274,Tonnes,1.165957447
Bihar,JAMUI,Arhar/Tur,2002-03,Kharif,493,Hectare,341,Tonnes,0.69168357
Bihar,JAMUI,Arhar/Tur,2003-04,Kharif,863,Hectare,1231,Tonnes,1.426419467
Bihar,JEHANABAD,Arhar/Tur,2001-02,Kharif,408,Hectare,469,Tonnes,1.149509804
Bihar,JEHANABAD,Arhar/Tur,2002-03,Kharif,231,Hectare,278,Tonnes,1.203463203
Bihar,JEHANABAD,Arhar/Tur,2003-04,Kharif,411,Hectare,558,Tonnes,1.357664234
Bihar,KAIMUR (BHABUA),Arhar/Tur,2001-02,Kharif,2024,Hectare,1826,Tonnes,0.902173913
Bihar,KAIMUR (BHABUA),Arhar/Tur,2002-03,Kharif,2108,Hectare,2049,Tonnes,0.9720113852
Bihar,KAIMUR (BHABUA),Arhar/Tur,2003-04,Kharif,2106,Hectare,1697,Tonnes,0.8057929725
Bihar,KATIHAR,Arhar/Tur,2001-02,Kharif,194,Hectare,134,Tonnes,0.6907216495
Bihar,KATIHAR,Arhar/Tur,2002-03,Kharif,132,Hectare,97,Tonnes,0.7348484848
Bihar,KATIHAR,Arhar/Tur,2003-04,Kharif,87,Hectare,106,Tonnes,1.218390805
Bihar,KHAGARIA,Arhar/Tur,2001-02,Kharif,246,Hectare,408,Tonnes,1.658536585
Bihar,KHAGARIA,Arhar/Tur,2002-03,Kharif,240,Hectare,156,Tonnes,0.65
Bihar,KHAGARIA,Arhar/Tur,2003-04,Kharif,225,Hectare,258,Tonnes,1.146666667
Bihar,KISHANGANJ,Arhar/Tur,2001-02,Kharif,283,Hectare,339,Tonnes,1.197879859
Bihar,KISHANGANJ,Arhar/Tur,2002-03,Kharif,235,Hectare,313,Tonnes,1.331914894
Bihar,KISHANGANJ,Arhar/Tur,2003-04,Kharif,214,Hectare,260,Tonnes,1.214953271
Bihar,LAKHISARAI,Arhar/Tur,2001-02,Kharif,169,Hectare,240,Tonnes,1.420118343
Bihar,LAKHISARAI,Arhar/Tur,2002-03,Kharif,179,Hectare,203,Tonnes,1.134078212
Bihar,LAKHISARAI,Arhar/Tur,2003-04,Kharif,134,Hectare,144,Tonnes,1.074626866
Bihar,MADHEPURA,Arhar/Tur,2001-02,Kharif,17,Hectare,22,Tonnes,1.294117647
Bihar,MADHEPURA,Arhar/Tur,2002-03,Kharif,2,Hectare,2,Tonnes,1
Bihar,MADHEPURA,Arhar/Tur,2003-04,Kharif,33,Hectare,41,Tonnes,1.242424242
Bihar,MADHUBANI,Arhar/Tur,2001-02,Kharif,957,Hectare,589,Tonnes,0.6154649948
Bihar,MADHUBANI,Arhar/Tur,2002-03,Kharif,1209,Hectare,1279,Tonnes,1.05789909
Bihar,MADHUBANI,Arhar/Tur,2003-04,Kharif,1062,Hectare,647,Tonnes,0.6092278719
Bihar,MUNGER,Arhar/Tur,2001-02,Kharif,51,Hectare,72,Tonnes,1.411764706
Bihar,MUNGER,Arhar/Tur,2002-03,Kharif,92,Hectare,104,Tonnes,1.130434783
Bihar,MUNGER,Arhar/Tur,2003-04,Kharif,56,Hectare,60,Tonnes,1.071428571
Bihar,MUZAFFARPUR,Arhar/Tur,2001-02,Kharif,1763,Hectare,4563,Tonnes,2.588201929
Bihar,MUZAFFARPUR,Arhar/Tur,2002-03,Kharif,1307,Hectare,2354,Tonnes,1.801071155
Bihar,MUZAFFARPUR,Arhar/Tur,2003-04,Kharif,1729,Hectare,3992,Tonnes,2.308849046
Bihar,NALANDA,Arhar/Tur,2001-02,Kharif,366,Hectare,366,Tonnes,1
Bihar,NALANDA,Arhar/Tur,2002-03,Kharif,379,Hectare,304,Tonnes,0.8021108179
Bihar,NALANDA,Arhar/Tur,2003-04,Kharif,426,Hectare,413,Tonnes,0.9694835681
Bihar,NAWADA,Arhar/Tur,2001-02,Kharif,897,Hectare,915,Tonnes,1.02006689
Bihar,NAWADA,Arhar/Tur,2002-03,Kharif,870,Hectare,978,Tonnes,1.124137931
Bihar,NAWADA,Arhar/Tur,2003-04,Kharif,797,Hectare,821,Tonnes,1.030112923
Bihar,PASHCHIM CHAMPARAN,Arhar/Tur,2001-02,Kharif,5594,Hectare,8201,Tonnes,1.466035038
Bihar,PASHCHIM CHAMPARAN,Arhar/Tur,2002-03,Kharif,5622,Hectare,4925,Tonnes,0.8760227677
Bihar,PASHCHIM CHAMPARAN,Arhar/Tur,2003-04,Kharif,5372,Hectare,6613,Tonnes,1.231012658
Bihar,PATNA,Arhar/Tur,2001-02,Kharif,1105,Hectare,800,Tonnes,0.7239819005
Bihar,PATNA,Arhar/Tur,2002-03,Kharif,455,Hectare,823,Tonnes,1.808791209
Bihar,PATNA,Arhar/Tur,2003-04,Kharif,398,Hectare,414,Tonnes,1.040201005
Bihar,PURBI CHAMPARAN,Arhar/Tur,2001-02,Kharif,4021,Hectare,4391,Tonnes,1.092016911
Bihar,PURBI CHAMPARAN,Arhar/Tur,2002-03,Kharif,2766,Hectare,3037,Tonnes,1.097975416
Bihar,PURBI CHAMPARAN,Arhar/Tur,2003-04,Kharif,2324,Hectare,3242,Tonnes,1.395008606
Bihar,PURNIA,Arhar/Tur,2001-02,Kharif,156,Hectare,187,Tonnes,1.198717949
Bihar,PURNIA,Arhar/Tur,2002-03,Kharif,157,Hectare,322,Tonnes,2.050955414
Bihar,PURNIA,Arhar/Tur,2003-04,Kharif,7,Hectare,8,Tonnes,1.142857143
Bihar,ROHTAS,Arhar/Tur,2001-02,Kharif,1580,Hectare,1537,Tonnes,0.9727848101
Bihar,ROHTAS,Arhar/Tur,2002-03,Kharif,1320,Hectare,1725,Tonnes,1.306818182
Bihar,ROHTAS,Arhar/Tur,2003-04,Kharif,1211,Hectare,1376,Tonnes,1.136251032
Bihar,SAHARSA,Arhar/Tur,2001-02,Kharif,12,Hectare,15,Tonnes,1.25
Bihar,SAHARSA,Arhar/Tur,2002-03,Kharif,19,Hectare,22,Tonnes,1.157894737
Bihar,SAHARSA,Arhar/Tur,2003-04,Kharif,2,Hectare,2,Tonnes,1
Bihar,SAMASTIPUR,Arhar/Tur,2001-02,Kharif,2484,Hectare,3199,Tonnes,1.28784219
Bihar,SAMASTIPUR,Arhar/Tur,2002-03,Kharif,2111,Hectare,2333,Tonnes,1.10516343
Bihar,SAMASTIPUR,Arhar/Tur,2003-04,Kharif,2034,Hectare,1229,Tonnes,0.6042281219
Bihar,SARAN,Arhar/Tur,2001-02,Kharif,1881,Hectare,2583,Tonnes,1.373205742
Bihar,SARAN,Arhar/Tur,2002-03,Kharif,1841,Hectare,2592,Tonnes,1.407930473
Bihar,SARAN,Arhar/Tur,2003-04,Kharif,1832,Hectare,2420,Tonnes,1.320960699
Bihar,SHEIKHPURA,Arhar/Tur,2001-02,Kharif,289,Hectare,410,Tonnes,1.418685121
Bihar,SHEIKHPURA,Arhar/Tur,2002-03,Kharif,89,Hectare,101,Tonnes,1.134831461
Bihar,SHEIKHPURA,Arhar/Tur,2003-04,Kharif,74,Hectare,80,Tonnes,1.081081081
