State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,2002-03,Rabi,82,Hectare,29,Tonnes,0.3536585366
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,2003-04,Kharif,577,Hectare,244,Tonnes,0.4228769497
Andhra Pradesh,WEST GODAVARI,Arhar/Tur,2003-04,Rabi,119,Hectare,50,Tonnes,0.4201680672
Andhra Pradesh,ADILABAD,Bajra,2001-02,Rabi,628,Hectare,293,Tonnes,0.4665605096
Andhra Pradesh,ADILABAD,Bajra,2002-03,Rabi,960,Hectare,455,Tonnes,0.4739583333
Andhra Pradesh,ADILABAD,Bajra,2003-04,Rabi,1820,Hectare,1112,Tonnes,0.610989011
Andhra Pradesh,ANANTAPUR,Bajra,2001-02,Kharif,1595,Hectare,526,Tonnes,0.3297805643
Andhra Pradesh,ANANTAPUR,Bajra,2001-02,Rabi,27,Hectare,9,Tonnes,0.3333333333
Andhra Pradesh,ANANTAPUR,Bajra,2002-03,Kharif,1925,Hectare,581,Tonnes,0.3018181818
Andhra Pradesh,ANANTAPUR,Bajra,2002-03,Rabi,129,Hectare,39,Tonnes,0.3023255814
Andhra Pradesh,ANANTAPUR,Bajra,2003-04,Kharif,2280,Hectare,378,Tonnes,0.1657894737
Andhra Pradesh,ANANTAPUR,Bajra,2003-04,Rabi,113,Hectare,19,Tonnes,0.1681415929
Andhra Pradesh,CHITTOOR,Bajra,2001-02,Kharif,2934,Hectare,3556,Tonnes,1.211997273
Andhra Pradesh,CHITTOOR,Bajra,2001-02,Rabi,258,Hectare,313,Tonnes,1.213178295
Andhra Pradesh,CHITTOOR,Bajra,2002-03,Kharif,2366,Hectare,1171,Tonnes,0.4949281488
Andhra Pradesh,CHITTOOR,Bajra,2002-03,Rabi,42,Hectare,21,Tonnes,0.5
Andhra Pradesh,CHITTOOR,Bajra,2003-04,Kharif,2166,Hectare,3611,Tonnes,1.667128347
Andhra Pradesh,CHITTOOR,Bajra,2003-04,Rabi,36,Hectare,60,Tonnes,1.666666667
